student_id,course_id,similarity_score,Branch,Percentage_10th,Percentage_12th,Skills_x,Career_Goal,StudentId,skills_processed_x,career_goal_processed,Title,Category,Course Type,Skills_y,skills_processed_y,category_processed
20,animal_behaviour_and_welfare,0.1989951477417791,ECE,85,85,,VLSI Engineer,20,,vlsi engineer,Animal Behaviour and Welfare,Health,Course,"Animal,Animal Behavior,Veterinary,Dog,",animalanimal behaviorveterinarydog,health
5,introduction_to_data_science_specialization,0.3545829116998706,CS,85,95,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,5,python java c data structures algorithms git,software engineer,Introduction to Data Science Specialization,Data Science,Specialization,"Data Science, Relational Database Management System (RDBMS), Cloud Databases, Python Programming, SQL, Deep Learning, Machine Learning, Big Data, Data Mining, Github, Jupyter notebooks, Rstudio, ",data science relational database management system rdbms cloud databases python programming sql deep learning machine learning big data data mining github jupyter notebooks rstudio,data science
39,1the_data_scientists_toolbox,0.567129712474572,CS,75,85,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,39,python r data analysis machine learning sql data visualization,data scientist,The Data Scientist’s Toolbox,Data Science,Course,"Data Science,Github,R Programming,Rstudio,",data sciencegithubr programmingrstudio,data science
55,advanced_linear_models_for_data_science_1_least_sq,0.19879748316137402,CSIT,85,75,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,55,html css javascript react nodejs angular apis databases,web developer,Advanced Linear Models for Data Science 1: Least Squares,Data Science,Course,"Statistics,Linear Regression,R Programming,Linear Algebra,",statisticslinear regressionr programminglinear algebra,data science
32,data_mining_project,0.3138026089012407,CSIT,85,75,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,32,python java c data structures algorithms git,software engineer,Data Mining Project,Data Science,Course,"Data Clustering Algorithms,Data Analysis,Natural Language Processing,Data Mining,",data clustering algorithmsdata analysisnatural language processingdata mining,data science
39,excel_skills_for_data_analytics_and_visualization_,0.6703725755361668,CS,75,85,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,39,python r data analysis machine learning sql data visualization,data scientist,Excel Skills for Data Analytics and Visualization Specialization,Business,Specialization,"Data Analysis, Microsoft Excel, Data Visualization (DataViz), Data Cleansing, Big Data, power bi, ",data analysis microsoft excel data visualization dataviz data cleansing big data power bi,business
82,introductory_c_programming_specialization,0.19692026757107928,ECE,75,75,,IoT Developer,82,,iot developer,Introductory C Programming Specialization,Computer Science,Specialization,"Software Development Process, Algorithms, Software Engineering, C Programming, Computer Programming, Programming Language Concepts, Problem Solving, Compiler, Debugging, ",software development process algorithms software engineering c programming computer programming programming language concepts problem solving compiler debugging,computer science
58,people_and_soft_skills_assessment_,0.19700150033092245,CSIT,75,85,,DevOps Engineer,58,,devops engineer,People and Soft Skills Assessment ,Personal Development,Course,"Social Skills,Professional Development,People Skills,Soft skills,Effective Communication,",social skillsprofessional developmentpeople skillssoft skillseffective communication,personal development
75,building_web_applications_in_django,0.23809422452245954,CSIT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,75,html css javascript react nodejs angular apis databases,web developer,Building Web Applications in Django,Computer Science,Course,"Django Template Language,GET & POST,Object-Oriented Programming (OOP),Cross-Site Scripting Forgery (CSRF),Django (Web Framework),",django template languageget postobjectoriented programming oopcrosssite scripting forgery csrfdjango web framework,computer science
85,a_tour_of_google_cloud_handson_labs,0.19917520402649824,ECE,85,85,,IoT Developer,85,,iot developer,A Tour of Google Cloud Hands-on Labs,Information Technology,Project,"Cloud Platforms,Cloud Storage,Google Cloud Platform,",cloud platformscloud storagegoogle cloud platform,information technology
82,data_analysis_with_python,0.19984677164332598,ECE,75,75,,IoT Developer,82,,iot developer,Data Analysis with Python,Data Science,Course,"Predictive Modelling,Python Programming,Data Analysis,Data Visualization (DataViz),Model Selection,",predictive modellingpython programmingdata analysisdata visualization datavizmodel selection,data science
71,google_cloud_big_data_and_machine_learning_fundame,0.2807464319603018,IT,85,85,"Cloud Computing, AWS, Azure, Networking, DevOps, Virtualization",Cloud Engineer,71,cloud computing aws azure networking devops virtualization,cloud engineer,Google Cloud Big Data and Machine Learning Fundamentals 日本語版,Data Science,Course,"Tensorflow,Bigquery,Google Cloud Platform,Cloud Computing,",tensorflowbigquerygoogle cloud platformcloud computing,data science
25,introduction_to_frontend_development,0.2692963764906895,CSIT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,25,html css javascript react nodejs angular apis databases,web developer,Introduction to Front-End Development,Computer Science,Course,"Web Development Tools,User Interface,Front-End Web Development,HTML and CSS,Responsive Web Design,",web development toolsuser interfacefrontend web developmenthtml and cssresponsive web design,computer science
81,1data_science_capstone,0.29489551161211636,ECE,85,75,,Signal Processing Engineer,81,,signal processing engineer,Data Science Capstone,Data Science,Course,"Data Science,Machine Learning,R Programming,Natural Language Processing,",data sciencemachine learningr programmingnatural language processing,data science
2,data_analysis_and_visualization_foundations_specia,0.6431807817476892,CSIT,85,95,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,2,python r data analysis machine learning sql data visualization,data scientist,Data Analysis and Visualization Foundations Specialization,Data Science,Specialization,"Data Science, Spreadsheet, Microsoft Excel, Data Analysis, Data Visualization (DataViz), Pivot Table, IBM Cognos Analytics, Dashboard, ",data science spreadsheet microsoft excel data analysis data visualization dataviz pivot table ibm cognos analytics dashboard,data science
5,information_gathering_and_vetting,0.29563979655045713,CS,85,95,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,5,python java c data structures algorithms git,software engineer,Information Gathering and Vetting,Personal Development,Course,"Getting the most of data you collect,Collecting data with a hypothesis,Sharing new insights from data,",getting the most of data you collectcollecting data with a hypothesissharing new insights from data,personal development
25,web_design_for_everybody_basics_of_web_development,0.3938063889450114,CSIT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,25,html css javascript react nodejs angular apis databases,web developer,Web Design for Everybody: Basics of Web Development & Coding Specialization,Computer Science,Specialization,"Web Development, Cascading Style Sheets (CSS), Html5, JavaScript, Responsive Web Design, Web Design, Web Accessibility, HTML, Style Sheets, Document Object Model (DOM), Bootstrap (Front-End Framework), ",web development cascading style sheets css html javascript responsive web design web design web accessibility html style sheets document object model dom bootstrap frontend framework,computer science
13,relational_database_support_for_data_warehouses,0.19997143632196301,CSIT,85,95,,DevOps Engineer,13,,devops engineer,Relational Database Support for Data Warehouses,Data Science,Course,"Data Warehousing,Materialized View,Data Warehouse,SQL,",data warehousingmaterialized viewdata warehousesql,data science
37,introduction_to_css3,0.1990866218537405,IT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,37,html css javascript react nodejs angular apis databases,web developer,Introduction to CSS3,Computer Science,Course,"Web Design,Style Sheets,Cascading Style Sheets (CSS),Web Development,",web designstyle sheetscascading style sheets cssweb development,computer science
80,fundamentals_of_graphic_design,0.19809880116407624,ECE,75,75,,IoT Developer,80,,iot developer,Fundamentals of Graphic Design,Arts and Humanities,Course,"Creativity,Graphics,Design Theory,Color Theory,",creativitygraphicsdesign theorycolor theory,arts and humanities
10,introduction_to_data_science_specialization,0.5937649118387649,CS,85,85,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,10,python r data analysis machine learning sql data visualization,data scientist,Introduction to Data Science Specialization,Data Science,Specialization,"Data Science, Relational Database Management System (RDBMS), Cloud Databases, Python Programming, SQL, Deep Learning, Machine Learning, Big Data, Data Mining, Github, Jupyter notebooks, Rstudio, ",data science relational database management system rdbms cloud databases python programming sql deep learning machine learning big data data mining github jupyter notebooks rstudio,data science
36,introduction_to_computer_science_and_programming_s,0.2130411748776331,IT,75,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,36,html css javascript react nodejs angular apis databases,web developer,Introduction to Computer Science and Programming Specialization,Computer Science,Specialization,"Computer Graphics (CG), Problem Solving, Mathematics, JavaScript, Computer Programming, ",computer graphics cg problem solving mathematics javascript computer programming,computer science
22,data_science_capstone,0.24558607918304337,ECE,85,75,,Signal Processing Engineer,22,,signal processing engineer,Data Science Capstone,Data Science,Course,"Data Science,Machine Learning,R Programming,Natural Language Processing,",data sciencemachine learningr programmingnatural language processing,data science
67,software_processes_and_agile_practices,0.3763792436114686,MCA,75,65,"Java, C#, Python, Data Structures, Algorithms, Web Development, Database Management",Software Developer,67,java c python data structures algorithms web development database management,software developer,Software Processes and Agile Practices,Computer Science,Course,"Lean Software Development,Agile Software Development,Software Development Process,Scrum (Software Development),",lean software developmentagile software developmentsoftware development processscrum software development,computer science
63,introduction_to_hardware_and_operating_systems,0.1993889533758916,CS,85,85,,Cybersecurity Analyst,63,,cybersecurity analyst,Introduction to Hardware and Operating Systems,Information Technology,Course,"Technical Support,IT Service Management (ITSM),Troubleshooting,IT Career,",technical supportit service management itsmtroubleshootingit career,information technology
47,samplebased_learning_methods,0.26847831947782375,EN,75,75,"Control Theory, MATLAB, Simulink, Signal Processing, Embedded Systems",Control Systems Engineer,47,control theory matlab simulink signal processing embedded systems,control systems engineer,Sample-based Learning Methods,Data Science,Course,"Artificial Intelligence (AI),Machine Learning,Reinforcement Learning,Function Approximation,Intelligent Systems,",artificial intelligence aimachine learningreinforcement learningfunction approximationintelligent systems,data science
67,r_programming,0.33888573427640856,MCA,75,65,"Java, C#, Python, Data Structures, Algorithms, Web Development, Database Management",Software Developer,67,java c python data structures algorithms web development database management,software developer,R Programming,Data Science,Course,"Data Analysis,Debugging,R Programming,Rstudio,",data analysisdebuggingr programmingrstudio,data science
64,assets_in_accounting,0.1980868511906092,CSAI,85,95,"Robotics, AI, C++, Embedded Systems, MATLAB, ROS",Robotics Engineer,64,robotics ai c embedded systems matlab ros,robotics engineer,Assets in Accounting,Business,Course,"Accounts receivable and cash receipts,Inventory costing methods,PP&E Accounting,Asset Accounting,Depreciation,",accounts receivable and cash receiptsinventory costing methodsppe accountingasset accountingdepreciation,business
65,cloud_application_development_foundations_speciali,0.294640825505584,CSIT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,65,html css javascript react nodejs angular apis databases,web developer,Cloud Application Development Foundations Specialization,Information Technology,Specialization,"Devops, Python Programming, Node.Js, HTML and CSS, Cloud Applications, Cloud Native, Iaas PaaS Saas, Hybrid Multicloud, Cloud Computing, Cascading Style Sheets (CSS), HTML, Git (Software), ",devops python programming nodejs html and css cloud applications cloud native iaas paas saas hybrid multicloud cloud computing cascading style sheets css html git software,information technology
28,sql_for_data_science_with_r,0.22027447646850365,CSIT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,28,html css javascript react nodejs angular apis databases,web developer,SQL for Data Science with R,Data Science,Course,"Data Science,Select (Sql),Relational Databases (RDBMS),R Programming,Data Analysis,",data scienceselect sqlrelational databases rdbmsr programmingdata analysis,data science
24,adjectives_and_adjective_clauses,0.3408432668949829,CS,85,85,"Python, AI, Machine Learning, Neural Networks, Deep Learning, TensorFlow",AI Engineer,24,python ai machine learning neural networks deep learning tensorflow,ai engineer,Adjectives and Adjective Clauses,Language Learning,Course,"Apposition,Grammar,English Language,Adjective,",appositiongrammarenglish languageadjective,language learning
76,relational_database_support_for_data_warehouses,0.43896604108115755,MCA,50,50,"SQL, Excel, Data Visualization, Python, R, Tableau, Power BI",Data Analyst,76,sql excel data visualization python r tableau power bi,data analyst,Relational Database Support for Data Warehouses,Data Science,Course,"Data Warehousing,Materialized View,Data Warehouse,SQL,",data warehousingmaterialized viewdata warehousesql,data science
67,project_management_specialization,0.3123466953566704,MCA,75,65,"Java, C#, Python, Data Structures, Algorithms, Web Development, Database Management",Software Developer,67,java c python data structures algorithms web development database management,software developer,Project Management Specialization,Business,Specialization,"Engineering management, Agile Management, Risk Management, Stakeholder Communications, Project Management, Resource Management, Business Communication, Team Management, Project Planning, budget management, Servant Leadership, Strategic Management, ",engineering management agile management risk management stakeholder communications project management resource management business communication team management project planning budget management servant leadership strategic management,business
59,applied_data_science_with_python_specialization,0.7314421109364321,CSIT,85,85,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,59,python r data analysis machine learning sql data visualization,data scientist,Applied Data Science with Python Specialization,Data Science,Specialization,"Text Mining, Python Programming, Pandas, Matplotlib, Numpy, Data Cleansing, Data Virtualization, Data Visualization (DataViz), Machine Learning (ML) Algorithms, Machine Learning, Scikit-Learn, Natural Language Toolkit (NLTK), ",text mining python programming pandas matplotlib numpy data cleansing data virtualization data visualization dataviz machine learning ml algorithms machine learning scikitlearn natural language toolkit nltk,data science
44,design_thinking_specialization,0.2533692572652479,CSME,85,85,,Product Design Engineer,44,,product design engineer,Design Thinking Specialization,Business,Specialization,"Creativity, Strategic Thinking, Design Thinking, Innovation Management, Innovation, ",creativity strategic thinking design thinking innovation management innovation,business
6,data_visualization__dashboarding_with_r_specializa,0.30711326230869934,IT,75,85,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,6,python java c data structures algorithms git,software engineer,Data Visualization & Dashboarding with R Specialization,Data Science,Specialization,"Data Science, Data Analysis, Data Visualization (DataViz), Reproducible Research, ",data science data analysis data visualization dataviz reproducible research,data science
12,introduction_to_web_development,0.21418115994694067,CSIT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,12,html css javascript react nodejs angular apis databases,web developer,Introduction to Web Development,Computer Science,Course,"Css Code,HTML,JavaScript,Cascading Style Sheets (CSS),",css codehtmljavascriptcascading style sheets css,computer science
83,working_with_data,0.3524949851383613,MCA,75,65,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,83,html css javascript react nodejs angular apis databases,web developer,Working with Data,Computer Science,Course,"React (Javascript Library),Data Management,Application development,REST APIs,",react javascript librarydata managementapplication developmentrest apis,computer science
13,meta_social_media_marketing_professional_certifica,0.19806999494413177,CSIT,85,95,,DevOps Engineer,13,,devops engineer,Meta Social Media Marketing Professional Certificate,Business,Professional Certificate,"Performance Advertising,Digital Marketing,Brand Management,Social Media Marketing,Content Marketing,",performance advertisingdigital marketingbrand managementsocial media marketingcontent marketing,business
35,data_mining__specialization,0.3683577561390989,CSME,85,75,"AI, Manufacturing Systems, Robotics, Data Analytics, Machine Learning",AI in Manufacturing,35,ai manufacturing systems robotics data analytics machine learning,ai in manufacturing,Data Mining  Specialization,Data Science,Specialization,"Data Clustering Algorithms, Text Mining, Data Visualization (DataViz), Data Mining, Data Visualization Software, Tableau Software, Data Virtualization, Information Retrieval (IR), Document Retrieval, Machine Learning, Recommender Systems, Probabilistic Models, ",data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,data science
59,connect_an_app_to_a_cloud_sql_for_postgresql_insta,0.548546133391057,CSIT,85,85,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,59,python r data analysis machine learning sql data visualization,data scientist,Connect an App to a Cloud SQL for PostgreSQL Instance,Data Science,Project,"Postgresql,Kubernetes,cloud sql,",postgresqlkubernetescloud sql,data science
32,google_advanced_data_analytics_professional_certif,0.3150711035455641,CSIT,85,75,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,32,python java c data structures algorithms git,software engineer,Google Advanced Data Analytics Professional Certificate,Data Science,Professional Certificate,"Data Science,Regression Models,Predictive Modelling,Exploratory Data Analysis (EDA),Statistical Analysis,Machine Learning,Python Programming,Data Analysis,Jupyter Notebook,Tableau Software,Data Visualization (DataViz),Kaggle,",data scienceregression modelspredictive modellingexploratory data analysis edastatistical analysismachine learningpython programmingdata analysisjupyter notebooktableau softwaredata visualization datavizkaggle,data science
6,1excel_basics_for_data_analysis,0.32705862586657714,IT,75,85,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,6,python java c data structures algorithms git,software engineer,Excel Basics for Data Analysis,Data Science,Course,"Data Science,Spreadsheet,Microsoft Excel,Data Analysis,Pivot Table,",data sciencespreadsheetmicrosoft exceldata analysispivot table,data science
1,exploratory_data_analysis,0.593750231425862,CSIT,85,85,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,1,python r data analysis machine learning sql data visualization,data scientist,Exploratory Data Analysis,Data Science,Course,"Cluster Analysis,Ggplot2,R Programming,Exploratory Data Analysis,",cluster analysisggplotr programmingexploratory data analysis,data science
37,building_web_applications_in_php,0.21665427577701293,IT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,37,html css javascript react nodejs angular apis databases,web developer,Building Web Applications in PHP,Computer Science,Course,"Hypertext Preprocessor (PHP),HTML,Cascading Style Sheets (CSS),",hypertext preprocessor phphtmlcascading style sheets css,computer science
2,introduction_to_probability_and_data_with_r,0.5657861558907755,CSIT,85,95,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,2,python r data analysis machine learning sql data visualization,data scientist,Introduction to Probability and Data with R,Data Science,Course,"Statistics,R Programming,Rstudio,Exploratory Data Analysis,",statisticsr programmingrstudioexploratory data analysis,data science
60,public_speaking_and_presentations_,0.19806596065621354,CSIT,85,85,,DevOps Engineer,60,,devops engineer,Public Speaking and Presentations ,Personal Development,Course,"Responding with an elevator pitch,Preparing an informative lecture,Delivering a persuasive speech,Engaging others with storytelling,",responding with an elevator pitchpreparing an informative lecturedelivering a persuasive speechengaging others with storytelling,personal development
37,applied_data_science_with_r_specialization,0.20803473955868895,IT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,37,html css javascript react nodejs angular apis databases,web developer,Applied Data Science with R Specialization,Data Science,Specialization,"Shiny Dashboards, Data Analysis and Modelling, R Programmin Language, Data Visualization (DataViz), SQL & RDBMS, Data Science, R Programming, Select (Sql), Relational Databases (RDBMS), Data Analysis, Statistical Analysis, Linear Regression, ",shiny dashboards data analysis and modelling r programmin language data visualization dataviz sql rdbms data science r programming select sql relational databases rdbms data analysis statistical analysis linear regression,data science
28,habilidades_gerenciales__specialization,0.19890455795138168,CSIT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,28,html css javascript react nodejs angular apis databases,web developer,Habilidades Gerenciales  Specialization,Personal Development,Specialization,"Delegation, Leadership, Coaching, Supervision, ",delegation leadership coaching supervision,personal development
7,handson_internet_of_things_specialization,0.26923861576625074,ECE,85,95,,IoT Developer,7,,iot developer,Hands-on Internet of Things Specialization,Computer Science,Specialization,"Python Programming, Device Programming, Raspberry Pi, Machine Learning, Internet, Internet Of Things (IOT), Wireless, Front And Back Ends, Service Discovery, ",python programming device programming raspberry pi machine learning internet internet of things iot wireless front and back ends service discovery,computer science
13,introduction_to_finance_and_accounting_specializat,0.1985613545047702,CSIT,85,95,,DevOps Engineer,13,,devops engineer,Introduction to Finance and Accounting Specialization,Business,Specialization,"Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, ",corporate finance financial accounting financial statement accounting decisionmaking discounted cash flow cash flow analysis balance sheet generally accepted accounting principles accounting terminology,business
20,immunology_the_immune_system_and_its_failures_spec,0.198704643391341,ECE,85,85,,VLSI Engineer,20,,vlsi engineer,Immunology: The Immune System and its Failures Specialization,Health,Specialization,"Tumour immunity, Allergy/asthma., Autoimmunity, Infectious Diseases, Immunology, Allergy/asthma, ",tumour immunity allergyasthma autoimmunity infectious diseases immunology allergyasthma,health
46,diseño_de_experiencia_del_usuario_ux_de_google_pro,0.19887898050345548,CSAI,85,85,"Robotics, AI, C++, Embedded Systems, MATLAB, ROS",Robotics Engineer,46,robotics ai c embedded systems matlab ros,robotics engineer,Diseño de Experiencia del Usuario (UX) de Google Professional Certificate,Ciencias de la Computación,Professional Certificate,"Experiencia del usuario (UX),Esquema,Diseño de la experiencia del usuario (UXD),Investigación en UX,Prototipo,Esquema de página,Pruebas de usabilidad,Maqueta,Figma,Adobe XD,Trabajos de diseño de UX,",experiencia del usuario uxesquemadiseño de la experiencia del usuario uxdinvestigación en uxprototipoesquema de páginapruebas de usabilidadmaquetafigmaadobe xdtrabajos de diseño de ux,ciencias de la computación
53,introduction_to_artificial_intelligence_ai,0.3264253627968242,IT,85,85,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,53,python java c data structures algorithms git,software engineer,Introduction to Artificial Intelligence (AI),Data Science,Course,"Data Science,Deep Learning,Artificial Intelligence (AI),Jobs,Machine Learning,",data sciencedeep learningartificial intelligence aijobsmachine learning,data science
23,digital_signal_processing_specialization,0.24654326185082348,ECE,85,95,,Signal Processing Engineer,23,,signal processing engineer,Digital Signal Processing Specialization,Physical Science and Engineering,Specialization,"Convulsion, Data Transmission, Audio processing, Ipython, Fourier Analysis, ",convulsion data transmission audio processing ipython fourier analysis,physical science and engineering
60,singing_popular_music,0.1992857210568347,CSIT,85,85,,DevOps Engineer,60,,devops engineer,Singing Popular Music,Arts and Humanities,Course,"Popular Music,Breathing Techniques,Belting,Music,Singing,",popular musicbreathing techniquesbeltingmusicsinging,arts and humanities
66,data_warehousing_for_business_intelligence_special,0.5761536538561574,CS,85,95,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,66,python r data analysis machine learning sql data visualization,data scientist,Data Warehousing for Business Intelligence Specialization,Data Science,Specialization,"Pentaho, Data Visualization (DataViz), Data Warehouse, SQL, Database (DB) Design, Entity–Relationship (E-R) Model, Database (DBMS), Extraction, Transformation And Loading (ETL), Data Integration, Data Warehousing, Materialized View, Business Intelligence, ",pentaho data visualization dataviz data warehouse sql database db design entityrelationship er model database dbms extraction transformation and loading etl data integration data warehousing materialized view business intelligence,data science
28,introduction_to_mobile_development,0.2872712845189758,CSIT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,28,html css javascript react nodejs angular apis databases,web developer,Introduction to Mobile Development,Computer Science,Course,"Web Development,React (Web Framework),HTML and CSS,Mobile Development,JavaScript,",web developmentreact web frameworkhtml and cssmobile developmentjavascript,computer science
6,data_mining__specialization,0.3603893074931277,IT,75,85,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,6,python java c data structures algorithms git,software engineer,Data Mining  Specialization,Data Science,Specialization,"Data Clustering Algorithms, Text Mining, Data Visualization (DataViz), Data Mining, Data Visualization Software, Tableau Software, Data Virtualization, Information Retrieval (IR), Document Retrieval, Machine Learning, Recommender Systems, Probabilistic Models, ",data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,data science
2,exploratory_data_analysis,0.6157598884924177,CSIT,85,95,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,2,python r data analysis machine learning sql data visualization,data scientist,Exploratory Data Analysis,Data Science,Course,"Cluster Analysis,Ggplot2,R Programming,Exploratory Data Analysis,",cluster analysisggplotr programmingexploratory data analysis,data science
84,developing_data_products,0.19979485186279256,ECE,85,75,,Signal Processing Engineer,84,,signal processing engineer,Developing Data Products,Data Science,Course,"Interactivity,Plotly,Web Application,R Programming,",interactivityplotlyweb applicationr programming,data science
81,applied_text_mining_in_python,0.22950429432581645,ECE,85,75,,Signal Processing Engineer,81,,signal processing engineer,Applied Text Mining in Python,Data Science,Course,"Natural Language Toolkit (NLTK),Text Mining,Python Programming,Natural Language Processing,",natural language toolkit nltktext miningpython programmingnatural language processing,data science
