Branch,Percentage_10th,Percentage_12th,Skills,Career_Goal,StudentId
CSIT,85,75,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,32
CS,85,85,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,33
CS,85,95,,Cybersecurity Analyst,34
CSME,85,75,"AI, Manufacturing Systems, Robotics, Data Analytics, Machine Learning",AI in Manufacturing,35
IT,75,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,36
IT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,37
IT,75,75,"SQL, Excel, Data Visualization, Python, R, Tableau, Power BI",Data Analyst,38
CS,75,85,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,39
CSME,85,75,"Automation Systems, PLC Programming, Control Systems, Robotics, SCADA",Automation Engineer,40
EN,85,85,,Power Systems Engineer,41
CS,65,65,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Algorithms, Data Structures",Machine Learning Engineer,42
CSME,85,85,"Automation Systems, PLC Programming, Control Systems, Robotics, SCADA",Automation Engineer,43
CSME,85,85,,Product Design Engineer,44
ME,75,75,"CAD, Mechanical Design, Manufacturing Processes, Prototyping, SolidWorks, AutoCAD",Design Engineer,45
CSAI,85,85,"Robotics, AI, C++, Embedded Systems, MATLAB, ROS",Robotics Engineer,46
EN,75,75,"Control Theory, MATLAB, Simulink, Signal Processing, Embedded Systems",Control Systems Engineer,47
ECE,85,75,,Signal Processing Engineer,48
CSIT,75,75,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,49
CS,85,75,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, Algorithms, Data Structures",Machine Learning Engineer,50
IT,85,75,"SQL, Excel, Data Visualization, Python, R, Tableau, Power BI",Data Analyst,51
IT,85,85,"Cloud Computing, AWS, Azure, Networking, DevOps, Virtualization",Cloud Engineer,52
IT,85,85,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,53
CS,85,95,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,54
CSIT,85,75,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,55
CS,75,75,"Python, Java, C++, Data Structures, Algorithms, Git",Software Engineer,56
ECE,85,75,,Signal Processing Engineer,57
CSIT,75,85,,DevOps Engineer,58
CSIT,85,85,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,59
CSIT,85,85,,DevOps Engineer,60
ECE,85,85,,VLSI Engineer,61
CSIT,85,85,,DevOps Engineer,62
CS,85,85,,Cybersecurity Analyst,63
CSAI,85,95,"Robotics, AI, C++, Embedded Systems, MATLAB, ROS",Robotics Engineer,64
CSIT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,65
CS,85,95,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,66
MCA,75,65,"Java, C#, Python, Data Structures, Algorithms, Web Development, Database Management",Software Developer,67
MCA,85,85,"SQL, Database Management, Oracle, MySQL, Data Security, Backup and Recovery",Database Administrator,68
CSIT,85,85,"Python, R, Data Analysis, Machine Learning, SQL, Data Visualization",Data Scientist,69
MCA,75,65,"Java, C#, Python, Data Structures, Algorithms, Web Development, Database Management",Software Developer,70
IT,85,85,"Cloud Computing, AWS, Azure, Networking, DevOps, Virtualization",Cloud Engineer,71
ECE,75,95,,Signal Processing Engineer,72
ECE,85,85,,Signal Processing Engineer,73
ECE,85,85,,Embedded Systems Engineer,74
CSIT,85,85,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,75
MCA,50,50,"SQL, Excel, Data Visualization, Python, R, Tableau, Power BI",Data Analyst,76
MCA,65,50,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,77
MCA,65,50,"SQL, Excel, Data Visualization, Python, R, Tableau, Power BI",Data Analyst,78
IT,85,75,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,79
ECE,75,75,,IoT Developer,80
ECE,85,75,,Signal Processing Engineer,81
ECE,75,75,,IoT Developer,82
MCA,75,65,"HTML, CSS, JavaScript, React, Node.js, Angular, APIs, Databases",Web Developer,83
ECE,85,75,,Signal Processing Engineer,84
ECE,85,85,,IoT Developer,85
MCA,85,65,"SQL, Excel, Data Visualization, Python, R, Tableau, Power BI",Data Analyst,86
